Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
360 ONE Dynamic Bond Fund - Direct Plan,"10,000",0.27,--,"Manumaharaj Saravanaraj (1.1), Milan Mody (4.4)"
360 ONE Liquid Fund - Direct Plan,"5,000",0.20,0.01 (1),"Manumaharaj Saravanaraj (1.1), Milan Mody (4.4)"
360 ONE Overnight Fund - Direct Plan,"5,000",--,--,"Milan Mody (0.1), Manumaharaj Saravanaraj (0.1)"
Aditya Birla Sun Life Banking & PSU Debt Fund - Direct Plan,"1,000",0.40,--,"Harshil Suvarnkar (4.3), Kaustubh Gupta (12.6)"
Aditya Birla Sun Life Corporate Bond Fund - Direct Plan,100.00,0.33,--,Kaustubh Gupta (8.3)
Aditya Birla Sun Life Credit Risk Fund - Direct Plan,100.00,0.67,3.00 (365),"Sunaina da Cunha (8.3), Mohit Sharma (5)"
Aditya Birla Sun Life Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,100.00,0.67,--,"Sunaina da Cunha (5.7), Mohit Sharma (5)"
Aditya Birla Sun Life CRISIL 10 Year Gilt ETF,"1,000",0.20,--,"Bhupesh Bameta (1), Sanjay Godambe (1), Vighnesh Gupta (1)"
Aditya Birla Sun Life CRISIL Broad Based Gilt ETF,"1,000",0.19,--,"Kaustubh Gupta (1.1), Harshil Suvarnkar (1.1), Vighnesh Gupta (1.1)"
Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund - Direct Plan,500.00,0.20,--,"Sanjay Godambe (2.8), Mohit Sharma (2.8)"
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+ AAA PSU Apr 2026 Index Fund - Direct Plan,500.00,0.20,--,"Bhupesh Bameta (2.7), Sanjay Godambe (2.7)"
Aditya Birla Sun Life CRISIL IBX 60:40 SDL+AAA PSU-Apr 2027 Index Fund - Direct Plan,500.00,0.20,--,Mohit Sharma (3.3)
Aditya Birla Sun Life CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund - Direct Plan,"1,000",0.14,--,"Harshil Suvarnkar (0.7), Vighnesh Gupta (0.7)"
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund - Direct Plan,"1,000",0.10,--,"Mohit Sharma (0.8), Sanjay Godambe (0.8)"
Aditya Birla Sun Life CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund - Direct Plan,"1,000",0.15,--,"Harshil Suvarnkar (0.8), Vighnesh Gupta (0.8)"
Aditya Birla Sun Life CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund - Direct Plan,"1,000",0.13,--,"Harshil Suvarnkar (0.6), Sanjay Pawar (0.6)"
Aditya Birla Sun Life CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,"1,000",0.15,--,"Mohit Sharma (0.4), Sanjay Pawar (0.4)"
Aditya Birla Sun Life CRISIL IBX Gilt Apr 2028 Index Fund - Direct Plan,500.00,0.49,--,"Sanjay Godambe (2.4), Bhupesh Bameta (2.4)"
Aditya Birla Sun Life CRISIL IBX Gilt -Apr 2029 Index Fund - Direct Plan,500.00,0.21,--,"Harshil Suvarnkar (2.8), Sanjay Godambe (2.8)"
Aditya Birla Sun Life CRISIL IBX Gilt-April 2026 Index Fund - Direct Plan,500.00,0.20,--,"Sanjay Godambe (2.8), Bhupesh Bameta (2.8)"
Aditya Birla Sun Life CRISIL IBX Gilt April 2033 Index Fund - Direct Plan,"1,000",0.22,--,"Bhupesh Bameta (1.6), Sanjay Godambe (1.6)"
Aditya Birla Sun Life CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,"1,000",0.26,--,"Bhupesh Bameta (1.2), Sanjay Godambe (1.2)"
Aditya Birla Sun Life CRISIL IBX SDL Jun 2032 Index Fund - Direct Plan,500.00,0.22,--,"Mohit Sharma (2.5), Bhupesh Bameta (2.5)"
Aditya Birla Sun Life CRISIL Liquid Overnight ETF,"5,000",0.43,--,"Sunaina da Cunha (2.4), Sanjay Pawar (2.4)"
Aditya Birla Sun Life Debt Plus Arbitrage FOF - Direct Plan,100.00,0.10,--,"Harshil Suvarnkar (0.3), Kaustubh Gupta (4.3)"
Aditya Birla Sun Life Dynamic Bond Fund - Direct Plan,"1,000",0.64,0.50 (90),"Mohit Sharma (4.3), Bhupesh Bameta (5)"
Aditya Birla Sun Life Dynamic Bond Fund - Segregated Portfolio 1 - Direct Plan,"1,000",0.64,--,"Bhupesh Bameta (5), Mohit Sharma (4.3)"
Aditya Birla Sun Life Floating Rate Fund - Direct Plan,"1,000",0.22,--,"Harshil Suvarnkar (4.3), Kaustubh Gupta (12.6)"
Aditya Birla Sun Life Government Securities Fund - Direct Plan,"1,000",0.49,--,Bhupesh Bameta (5)
Aditya Birla Sun Life Income Fund - Direct Plan,"5,000",0.74,--,Bhupesh Bameta (5)
Aditya Birla Sun Life Liquid Fund - Direct Plan,500.00,0.21,0.01 (1),"Kaustubh Gupta (12.6), Sunaina da Cunha (12.6), Sanjay Pawar (3.1)"
Aditya Birla Sun Life Long Duration Fund - Direct Plan,100.00,0.43,--,"Harshil Suvarnkar (3), Bhupesh Bameta (3)"
Aditya Birla Sun Life Low Duration Fund - Direct Plan,100.00,0.43,--,"Mohit Sharma (8.3), Kaustubh Gupta (12.6)"
Aditya Birla Sun Life Medium Term Plan - Direct Plan,"1,000",0.84,2.00 (365),"Sunaina da Cunha (8.3), Mohit Sharma (5)"
Aditya Birla Sun Life Medium Term Plan - Segregated Portfolio 1 - Direct Plan,"1,000",0.84,--,"Mohit Sharma (5), Sunaina da Cunha (5.7)"
Aditya Birla Sun Life Money Manager Fund - Direct Plan,"1,000",0.22,--,"Kaustubh Gupta (12.6), Anuj Jain (4.3), Mohit Sharma (8.3)"
Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund - Direct Plan,500.00,0.21,--,"Bhupesh Bameta (3.5), Harshil Suvarnkar (3.5)"
Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund - Direct Plan,500.00,0.20,--,Mohit Sharma (3.9)
Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund - Direct Plan,500.00,0.18,--,"Sanjay Godambe (2.8), Bhupesh Bameta (2.8)"
Aditya Birla Sun Life Nifty SDL Sep 2027 Index Fund - Direct Plan,500.00,0.20,--,Harshil Suvarnkar (2.4)
Aditya Birla Sun Life Overnight Fund - Direct Plan,500.00,0.08,--,Kaustubh Gupta (6.7)
Aditya Birla Sun Life Retirement Fund - The 50s Plus - Debt Plan - Direct Plan,"1,000",0.84,--,Harshil Suvarnkar (4.3)
Aditya Birla Sun Life Savings Fund - Direct Plan,"1,000",0.33,--,"Monika Gandhi (4.3), Kaustubh Gupta (12.6), Sunaina da Cunha (11.1)"
Aditya Birla Sun Life Short Term Fund - Direct Plan,"1,000",0.36,--,"Kaustubh Gupta (10.9), Mohit Sharma (5)"
Aditya Birla Sun Life US Treasury 1-3 year Bond ETFs FoF - Direct Plan,"10,000",0.19,0.25 (30),"Vighnesh Gupta (1.7), Bhupesh Bameta (1.7)"
Aditya Birla Sun Life US Treasury 3-10 year Bond ETFs FoF - Direct Plan,"10,000",0.15,0.25 (30),"Bhupesh Bameta (1.7), Vighnesh Gupta (1.7)"
Angel One Nifty 1D Rate Liquid ETF - Growth,"1,000",0.27,--,"Mehul Dama (0.3), Kewal Shah (0.3)"
Axis Banking & PSU Debt Fund - Direct Plan,"5,000",0.35,--,"Hardik Shah (2.1), Aditya Pagaria (9)"
Axis Corporate Bond Fund - Direct Plan,100.00,0.34,--,"Hardik Shah (3.5), Devang Shah (8.1)"
Axis Credit Risk Fund - Direct Plan,"5,000",0.80,1.00 (365),"Akhil Bipin Thakker (3.7), Devang Shah (11.1)"
Axis CRISIL IBX 50:50 Gilt Plus SDL Jun 2028 Index Fund - Direct Plan,"5,000",0.20,--,Hardik Shah (2.6)
Axis CRISIL IBX 50:50 Gilt Plus SDL September 2027 Index Fund - Direct Plan,"5,000",0.15,--,"Aditya Pagaria (2.5), Sachin Jain (2.5)"
Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund - Direct Plan,"5,000",0.15,--,Aditya Pagaria (0.7)
Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund - Direct Plan,"5,000",0.15,--,Aditya Pagaria (0.6)
Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund - Direct Plan,"5,000",0.17,--,Aditya Pagaria (0.9)
Axis CRISIL IBX SDL June 2034 Debt Index Fund - Direct Plan,"5,000",0.20,--,Hardik Shah (1.4)
Axis CRISIL IBX SDL May 2027 Index Fund - Direct Plan,"5,000",0.16,--,"Aditya Pagaria (2.5), Hardik Shah (3.5)"
Axis Dynamic Bond Fund - Direct Plan,"5,000",0.32,--,"Devang Shah (12.6), Hardik Shah (1.3)"
Axis Floater Fund - Direct Plan,"5,000",0.19,--,"Aditya Pagaria (4), Hardik Shah (3.5)"
Axis Gilt Fund - Direct Plan,"5,000",0.43,--,"Devang Shah (12.6), Sachin Jain (2.5)"
Axis Income Plus Arbitrage Active FoF - Direct Plan,100.00,0.05,--,"Karthik Kumar (0.4), Devang Shah (2.5), Hardik Shah (1.3), Anagha Darade (1.3)"
Axis Liquid Fund - Direct Plan,500.00,0.12,0.01 (1),"Aditya Pagaria (9), Sachin Jain (2.1), Devang Shah (12.6)"
Axis Long Duration Fund - Direct Plan,"5,000",0.32,--,"Hardik Shah (2.6), Devang Shah (2.6)"
Axis Money Market Fund - Direct Plan,"5,000",0.16,--,"Sachin Jain (3.7), Devang Shah (6), Aditya Pagaria (6)"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,"5,000",0.09,--,"Aditya Pagaria (4.3), Sachin Jain (2.5)"
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF - Direct Plan,"5,000",0.08,--,Aditya Pagaria (3.8)
Axis Nifty SDL September 2026 Debt Index Fund - Direct Plan,"5,000",0.16,--,"Sachin Jain (2.5), Aditya Pagaria (2.7)"
Axis Overnight Fund - Direct Plan,500.00,0.06,--,"Hardik Satra (0.7), Sachin Jain (3.7)"
Axis Short Duration Fund - Direct Plan,"5,000",0.37,--,"Devang Shah (12.6), Aditya Pagaria (2.1)"
Axis Strategic Bond Fund - Direct Plan,100.00,0.55,1.00 (365),"Akhil Bipin Thakker (2.5), Devang Shah (12.6), Sachin Jain (2.5)"
Axis Treasury Advantage Fund - Direct Plan,"5,000",0.35,--,"Aditya Pagaria (9), Devang Shah (9.1)"
Axis Ultra Short Duration Fund - Direct Plan,"5,000",0.38,--,"Hardik Shah (0.7), Sachin Jain (4.9)"
Axis US Specific Treasury Dynamic Debt Passive ETF FoF - Direct Plan,500.00,0.09,0.25 (30),Krishnaa Narayan (1.4)
Bajaj Finserv Banking and PSU Fund - Direct Plan,"1,000",0.34,--,"Siddharth Chaudhary (1.8), Nimesh Chandan (1.8)"
Bajaj Finserv Gilt Fund - Direct Plan,"5,000",0.39,--,"Nimesh Chandan (0.6), Siddharth Chaudhary (0.6)"
Bajaj Finserv Liquid Fund - Direct Plan,100.00,0.11,0.01 (1),"Nimesh Chandan (2.1), Siddharth Chaudhary (2.1)"
Bajaj Finserv Money Market Fund - Direct Plan,"1,000",0.11,--,"Siddharth Chaudhary (2), Nimesh Chandan (2)"
Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,"5,000",0.19,--,Siddharth Chaudhary (1.2)
Bajaj Finserv Overnight Fund - Direct Plan,100.00,0.07,--,"Siddharth Chaudhary (2.1), Nimesh Chandan (2.1)"
Bandhan Banking and PSU Fund - Direct Plan,"1,000",0.33,--,"Gautam Kaul (3.6), Suyash Choudhary (4)"
Bandhan Bond Fund Income Plan - Direct Plan,"1,000",1.32,1.00 (365),Suyash Choudhary (12.6)
Bandhan Bond Fund Medium Term Plan - Direct Plan,"1,000",0.60,--,Suyash Choudhary (9.9)
Bandhan Bond Fund Short Term Plan - Direct Plan,"1,000",0.33,--,Suyash Choudhary (12.6)
Bandhan Corporate Bond Fund - Direct Plan,"1,000",0.33,--,"Suyash Choudhary (4), Gautam Kaul (3.6)"
Bandhan Credit Risk Fund - Direct Plan,"1,000",0.68,1.00 (365),"Debraj Lahiri (2.3), Gautam Kaul (3)"
Bandhan CRISIL-IBX 10:90 Gilt + SDL Index - Dec 2029 Fund - Direct Plan,"1,000",0.08,--,Brijesh Shah (0.4)
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- April 2032 Index Fund - Direct Plan,"1,000",0.08,--,"Harshal Joshi (2.7), Gautam Kaul (2.7)"
Bandhan CRISIL IBX 90:10 SDL Plus Gilt- November 2026 Index Fund - Direct Plan,"1,000",0.08,--,"Gautam Kaul (2.7), Harshal Joshi (2.7)"
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-September 2027 Index Fund - Direct Plan,"1,000",0.08,--,"Harshal Joshi (2.7), Gautam Kaul (2.7)"
Bandhan CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Direct Plan,"1,000",0.10,--,"Harshal Joshi (0.4), Brijesh Shah (0.4)"
Bandhan Crisil IBX Gilt April 2026 Index Fund - Direct Plan,"1,000",0.16,--,Gautam Kaul (2.8)
Bandhan CRISIL IBX Gilt April 2028 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (3.6), Harshal Joshi (4)"
Bandhan Crisil IBX Gilt April 2032 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (2.5), Harshal Joshi (2.5)"
Bandhan CRISIL IBX Gilt June 2027 Index Fund - Direct Plan,"1,000",0.20,--,"Gautam Kaul (3.6), Harshal Joshi (4)"
Bandhan Dynamic Bond Fund - Direct Plan,"1,000",0.71,--,Suyash Choudhary (12.6)
Bandhan Floater Fund - Direct Plan,"1,000",0.15,--,"Debraj Lahiri (1.4), Brijesh Shah (1.4)"
Bandhan Government Securities Fund - Constant Maturity Plan - Direct Plan,"1,000",0.14,--,Harshal Joshi (8.2)
Bandhan Government Securities Fund - Investment Plan - Direct Plan,"1,000",0.52,--,Suyash Choudhary (12.6)
Bandhan Income Plus Arbitrage FoF - Direct Plan,"1,000",0.04,--,Harshal Joshi (9)
Bandhan Liquid Fund - Direct Plan,100.00,0.12,0.01 (1),"Brijesh Shah (3.6), Harshal Joshi (9.9)"
Bandhan Long Duration Fund - Direct Plan,"1,000",0.25,--,Gautam Kaul (1.4)
Bandhan Low Duration Fund - Direct Plan,100.00,0.34,--,Harshal Joshi (4)
Bandhan Money Market Fund - Direct Plan,100.00,0.10,--,"Gautam Kaul (3.6), Brijesh Shah (4)"
Bandhan Overnight Fund - Direct Plan,"1,000",0.05,--,Brijesh Shah (6.5)
Bandhan Ultra Short Duration Fund - Direct Plan,100.00,0.27,--,Harshal Joshi (7.1)
Bandhan US Treasury Bond 0-1 year FoF - Direct Plan,"1,000",0.12,0.10 (7),Brijesh Shah (2.4)
Bank of India Credit Risk Fund - Direct Plan,"5,000",1.10,4.00 (365),Alok Singh (10.5)
Bank of India Liquid Fund - Direct Plan,"5,000",0.11,0.01 (1),Mithraem Bharucha (3.9)
Bank of India Money Market Fund - Direct Plan,"5,000",0.12,--,Mithraem Bharucha (0.5)
Bank of India Overnight Fund - Direct Plan,"5,000",0.08,--,Mithraem Bharucha (3.9)
Bank of India Short Term Income Fund - Direct Plan,"5,000",0.52,--,Mithraem Bharucha (3.9)
Bank of India Ultra Short Duration Fund - Direct Plan,"5,000",0.38,--,Mithraem Bharucha (3.9)
Baroda BNP Paribas Banking & PSU Bond Fund - Direct Plan,"5,000",0.39,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Corporate Bond Fund - Direct Plan,"5,000",0.20,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Credit Risk Fund - Direct Plan,"5,000",0.85,1.00 (365),"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Credit Risk Fund Plan B - Segregated Portfolio 1 - Direct Plan,"5,000",--,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Dynamic Bond Fund - Direct Plan,"5,000",0.70,--,"Prashant R Pimple (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Gilt Fund - Direct Plan,"5,000",0.14,--,"Prashant R Pimple (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Income Plus Arbitrage Active FoF - Direct Plan,"1,000",0.05,--,Vikram Pamnani (0.1)
Baroda BNP Paribas Liquid Fund - Direct Plan,"5,000",0.17,0.01 (1),"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Low Duration Fund - Direct Plan,"5,000",0.32,--,"Vikram Pamnani (7.6), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Medium Duration Plan B - Segregated Portfolio 1 - Direct Plan,"5,000",--,--,Alok Sahoo (5.4)
Baroda BNP Paribas Money Market Fund - Direct Plan,"5,000",0.23,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Nifty SDL December 2026 Index Fund - Direct Plan,"5,000",0.19,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas NIFTY SDL December 2028 Index Fund - Direct Plan,"5,000",0.19,--,"Vikram Pamnani (1), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Overnight Fund - Direct Plan,"5,000",0.09,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
Baroda BNP Paribas Short Duration Fund - Direct Plan,"5,000",0.44,--,"Gurvinder Singh Wasan (0.8), Vikram Pamnani (1)"
Baroda BNP Paribas Ultra Short Duration Fund - Direct Plan,"5,000",0.31,--,"Vikram Pamnani (3.4), Gurvinder Singh Wasan (0.8)"
BHARAT Bond ETF - April 2030,"1,000",0.01,--,"Dhawal Dalal (5.6), Rahul Dedhia (3.7)"
BHARAT Bond ETF - April 2031,"1,001",0.01,--,"Rahul Dedhia (3.7), Dhawal Dalal (5)"
BHARAT Bond ETF - April 2032,"1,001",0.01,--,"Dhawal Dalal (3.6), Rahul Dedhia (3.6)"
BHARAT Bond ETF - April 2033,"1,001",0.01,--,"Dhawal Dalal (2.6), Rahul Dedhia (2.6)"
BHARAT Bond ETF FOF - April 2032 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.6), Pranavi Kulkarni (1.1)"
BHARAT Bond ETF FOF - April 2033 - Direct Plan,100.00,0.09,0.10 (30),"Rahul Dedhia (2.6), Pranavi Kulkarni (1.1)"
BHARAT Bond FOF - April 2030 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.7), Pranavi Kulkarni (1.1)"
BHARAT Bond FOF - April 2031 - Direct Plan,100.00,0.08,0.10 (30),"Rahul Dedhia (3.7), Pranavi Kulkarni (1.1)"
Canara Robeco Banking and PSU Debt Fund - Direct Plan,"5,000",0.38,--,"Suman Prasad (0.9), Avnish Jain (3)"
Canara Robeco Corporate Bond Fund - Direct Plan,"5,000",0.36,--,"Suman Prasad (3), Avnish Jain (11.5)"
Canara Robeco Dynamic Bond Fund - Direct Plan,"5,000",0.64,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Gilt Fund - Direct Plan,"5,000",0.51,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Income Fund - Direct Plan,"5,000",0.75,--,"Avnish Jain (11.1), Kunal Jain (3)"
Canara Robeco Liquid Fund - Direct Plan,"5,000",0.07,0.01 (1),"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Overnight Fund - Direct Plan,"5,000",0.07,--,Suman Prasad (6)
Canara Robeco Savings Fund - Direct Plan,"5,000",0.21,--,"Avnish Jain (3.3), Kunal Jain (3)"
Canara Robeco Short Duration Fund - Direct Plan,"5,000",0.40,--,"Avnish Jain (3), Suman Prasad (12.6)"
Canara Robeco Ultra Short Term Fund - Direct Plan,500.00,0.34,--,"Kunal Jain (0.9), Avnish Jain (3.3)"
DSP 10Y G-Sec Fund - Direct Plan,100.00,0.31,--,Shantanu Godambe (2.1)
DSP Banking & PSU Debt Fund - Direct Plan,100.00,0.33,--,"Shantanu Godambe (2.2), Sandeep Yadav (1)"
DSP Bond Fund - Direct Plan,100.00,0.40,--,"Karan Mundhra (4.2), Vivekanand Ramakrishnan (4)"
DSP BSE Liquid Rate ETF,"5,000",0.30,--,"Anil Ghelani (1.4), Diipesh Shah (1.4)"
DSP Corporate Bond Fund - Direct Plan,100.00,0.29,--,"Vivekanand Ramakrishnan (4), Shantanu Godambe (0.6)"
DSP Credit Risk Fund - Direct Plan,100.00,0.40,1.00 (364),"Vivekanand Ramakrishnan (4), Shalini Vasanta (0.6)"
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund - Direct Plan,100.00,0.16,--,Shantanu Godambe (2.1)
DSP Floater Fund - Direct Plan,100.00,0.25,--,"Karan Mundhra (1), Shantanu Godambe (2.2)"
DSP Gilt Fund - Direct Plan,100.00,0.57,--,"Sandeep Yadav (1), Shantanu Godambe (2.2)"
DSP Income Plus Arbitrage FoF - Direct Plan,100.00,0.43,--,"Shantanu Godambe (0.4), Kaivalya Nadkarni (0.4)"
DSP Liquidity Fund - Direct Plan,100.00,0.10,0.01 (1),"Shalini Vasanta (1), Karan Mundhra (4.2)"
DSP Low Duration Fund - Direct Plan,100.00,0.30,--,"Shalini Vasanta (2.2), Karan Mundhra (3.4)"
DSP NIFTY 1D Rate Liquid ETF,500.00,0.30,--,"Anil Ghelani (6), Diipesh Shah (4.7)"
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund - Direct Plan,100.00,0.15,--,Shantanu Godambe (2.1)
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund - Direct Plan,100.00,0.16,--,Shantanu Godambe (2.1)
DSP Overnight Fund - Direct Plan,100.00,0.07,--,"Shalini Vasanta (1), Karan Mundhra (1)"
DSP Savings Fund - Direct Plan,100.00,0.16,--,"Shalini Vasanta (1), Karan Mundhra (4.2)"
DSP Short Term Fund - Direct Plan,100.00,0.35,--,"Karan Mundhra (1), Shantanu Godambe (0.6)"
DSP Strategic Bond Fund - Direct Plan,100.00,0.53,--,"Sandeep Yadav (3.4), Shantanu Godambe (2.2), Kunal Khudania (0.1)"
DSP Ultra Short Fund - Direct Plan,100.00,0.30,--,"Karan Mundhra (4.2), Shalini Vasanta (0.6)"
