Funds,Minimum Investment,Expense Ratio (%),Exit Load (Period),Fund Manager (Tenure)
LIC MF Liquid Fund - Direct Plan,"5,000",0.16,0.01 (1),Rahul Singh (9.8)
LIC MF Low Duration Fund - Direct Plan,"5,000",0.25,--,Rahul Singh (9.9)
LIC MF Medium to Long Duration Fund - Direct Plan,"5,000",0.21,0.25 (15),"Pratik Harish Shroff (1.8), Marzban Irani (9)"
LIC MF Money Market Fund - Direct Plan,"5,000",0.19,--,Rahul Singh (3)
LIC MF Nifty 8-13 yr G-Sec Exchange Traded Fund,"5,000",0.16,--,"Pratik Harish Shroff (1.8), Marzban Irani (9)"
LIC MF Overnight Fund - Direct Plan,"5,000",0.07,--,Rahul Singh (6)
LIC MF Short Duration Fund - Direct Plan,"5,000",0.36,--,"Marzban Irani (6.5), Pratik Harish Shroff (1.8)"
LIC MF Ultra Short Duration Fund - Direct Plan,"5,000",0.25,--,Rahul Singh (5.7)
Mahindra Manulife Dynamic Bond Fund - Direct Plan,"1,000",0.39,--,Rahul Pal (7)
Mahindra Manulife Liquid Fund - Direct Plan,"1,000",0.14,0.01 (1),"Rahul Pal (9.1), Amit Garg (5.1)"
Mahindra Manulife Low Duration Fund - Direct Plan,"1,000",0.30,--,Rahul Pal (8.4)
Mahindra Manulife Overnight Fund - Direct Plan,"1,000",0.10,--,"Rahul Pal (6), Amit Garg (5.1)"
Mahindra Manulife Short Duration Fund - Direct Plan,"1,000",0.28,--,Rahul Pal (4.5)
Mahindra Manulife Ultra Short Duration Fund - Direct Plan,"1,000",0.28,--,"Amit Garg (5.1), Rahul Pal (5.8)"
Mirae Asset Banking and PSU Fund - Direct Plan,"5,000",0.36,--,Kruti Chheta (1.5)
Mirae Asset Corporate Bond Fund - Direct Plan,"5,000",0.24,--,Kruti Chheta (0.5)
Mirae Asset CRISIL-IBX Financial Services 9-12 Months Debt Index Fund - Direct Plan,"5,000",0.10,--,Amit Modani (0.1)
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund - Direct Plan,"5,000",0.11,--,Amit Modani (2.5)
Mirae Asset Dynamic Bond Fund - Direct Plan,"5,000",0.16,--,Amit Modani (2.5)
Mirae Asset Income Plus Arbitrage Active FoF - Direct Plan,"5,000",--,0.25 (15),Mahendra Kumar Jajoo (0.1)
Mirae Asset Liquid Fund - Direct Plan,"5,000",0.09,0.01 (1),Amit Modani (0.7)
Mirae Asset Long Duration Fund - Direct Plan,"5,000",0.14,--,Kruti Chheta (0.7)
Mirae Asset Low Duration Fund - Direct Plan,"5,000",0.17,--,Basant Bafna (1.5)
Mirae Asset Money Market Fund - Direct Plan,"5,000",0.09,--,Amit Modani (1.9)
Mirae Asset Nifty 1D Rate Liquid ETF - Growth,"5,000",0.16,--,Amit Modani (0.7)
Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,"5,000",0.27,--,Amit Modani (2)
Mirae Asset Nifty 8-13 yr G-Sec ETF,"5,000",0.10,--,Amit Modani (2.3)
Mirae Asset Nifty AAA PSU Bond Plus SDL Apr 2026 50:50 Index Fund - Direct Plan,"5,000",0.14,--,Amit Modani (2.5)
Mirae Asset Nifty SDL Jun 2027 Index Fund - Direct Plan,"5,000",0.18,--,Amit Modani (2.5)
Mirae Asset Nifty SDL June 2028 Index Fund - Direct Plan,"5,000",0.12,--,Mahendra Kumar Jajoo (2.4)
Mirae Asset Overnight Fund - Direct Plan,"5,000",0.08,--,Amit Modani (0.5)
Mirae Asset Short Duration Fund - Direct Plan,"5,000",0.26,--,Basant Bafna (2.5)
Mirae Asset Ultra Short Duration Fund - Direct Plan,"5,000",0.16,--,Basant Bafna (2.5)
Motilal Oswal 5 Year G-Sec FoF - Direct Plan,500.00,0.13,--,Rakesh Shetty (2.7)
Motilal Oswal Liquid Fund - Direct Plan,500.00,0.19,0.01 (1),Rakesh Shetty (2.7)
Motilal Oswal Nifty 5 year Benchmark G-Sec ETF,500.00,0.24,--,Rakesh Shetty (2.7)
Motilal Oswal Ultra Short Term Fund - Direct Plan,500.00,0.29,--,Rakesh Shetty (2.7)
Navi Liquid Fund - Direct Plan,100.00,0.15,0.01 (1),Tanmay Sethi (1.5)
Nippon India Banking and PSU Fund - Direct Plan,"5,000",0.38,--,"Pranay Sinha (4.3), Vivek Sharma (5.1)"
Nippon India Corporate Bond Fund - Direct Plan,"1,000",0.36,--,Vivek Sharma (5.5)
Nippon India Credit Risk Fund - Direct Plan,500.00,0.70,1.00 (365),Sushil Budhia (5.5)
Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan,500.00,0.70,--,Sushil Budhia (5.4)
Nippon India Credit Risk Fund - Segregated Portfolio 2 - Direct Plan,500.00,0.70,--,Sushil Budhia (5.4)
Nippon India CRISIL IBX AAA Financial Services - Dec 2026 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (0.8)
Nippon India CRISIL IBX AAA Financial Services - Jan 2028 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (0.8)
Nippon India Dynamic Bond Fund - Direct Plan,"5,000",0.36,--,"Vivek Sharma (5.1), Pranay Sinha (4.3)"
Nippon India ETF Nifty 1D Rate Liquid BeES,"1,00,000",0.69,--,Vikash Agarwal (0.3)
Nippon India ETF Nifty 5 yr Benchmark G-Sec,"5,000",0.09,--,Pranay Sinha (4.3)
Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,"5,000",0.10,--,Pranay Sinha (4.3)
Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,"5,000",0.20,--,Vivek Sharma (4.4)
Nippon India Floater Fund - Direct Plan,"5,000",0.35,--,Vikash Agarwal (0.9)
Nippon India Gilt Fund - Direct Plan,"5,000",0.50,1.00 (7),Pranay Sinha (4.3)
Nippon India Income Plus Arbitrage Active FoF - Direct Plan,500.00,0.07,--,"Sushil Budhia (0.1), Vikash Agarwal (0.1)"
Nippon India Liquid Fund - Direct Plan,"1,000",0.20,0.01 (1),Vikash Agarwal (0.9)
Nippon India Low Duration Fund - Direct Plan,500.00,0.38,--,Vivek Sharma (5.5)
Nippon India Medium Duration Fund - Direct Plan,"5,000",0.52,1.00 (365),Sushil Budhia (5.5)
Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan,"5,000",0.52,--,Sushil Budhia (5.4)
Nippon India Medium Duration Fund - Segregated Portfolio 2 - Direct Plan,"5,000",0.52,--,Sushil Budhia (5.4)
Nippon India Medium to Long Duration Fund - Direct Plan,"5,000",0.67,0.25 (15),Vivek Sharma (5.5)
Nippon India Money Market Fund - Direct Plan,500.00,0.22,--,Vikash Agarwal (0.9)
Nippon India Nifty 1D Rate Liquid ETF - Growth,"1,000",--,--,"Vivek Sharma (0), Vikash Agarwal (0)"
Nippon India Nifty AAA CPSE Bond Plus SDL - Apr 2027 Maturity 60:40 Index Fund - Direct Plan,"1,000",0.15,--,Vivek Sharma (3.3)
Nippon India Nifty AAA PSU Bond Plus SDL - Sep 2026 Maturity 50:50 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.8)
Nippon India Nifty G-Sec Jun 2036 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty G-Sec Oct 2028 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.4)
Nippon India Nifty G-Sec Sep 2027 Maturity Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty SDL Plus G-Sec - Jun 2028 Maturity 70:30 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.7)
Nippon India Nifty SDL Plus G-Sec - Jun 2029 Maturity 70:30 Index Fund - Direct Plan,"1,000",0.20,--,Vivek Sharma (2.5)
Nippon India Nivesh Lakshya Long Duration Fund - Direct Plan,"5,000",0.33,1.00 (30),Pranay Sinha (4.3)
Nippon India Overnight Fund - Direct Plan,100.00,0.08,--,Vikash Agarwal (0.3)
Nippon India Short Duration Fund - Direct Plan,100.00,0.38,--,"Sushil Budhia (4.3), Vivek Sharma (5.5)"
Nippon India Ultra Short Duration Fund - Direct Plan,100.00,0.38,--,Vivek Sharma (11.8)
Nippon India Ultra Short Duration Fund - Segregated Portfolio 1 - Direct Plan,100.00,0.38,--,Vivek Sharma (5.8)
NJ Overnight Fund - Direct Plan,"5,000",0.05,--,"Dhaval Patel (2.4), Viral Shah (2.8)"
Parag Parikh Liquid Fund - Direct Plan,"5,000",0.11,0.01 (1),"Raj Mehta (7.2), Mansi Kariya (1.6)"
PGIM India Corporate Bond Fund - Direct Plan,"5,000",0.25,--,"Puneet Pal (7.6), Bhupesh Kalyani (2.9)"
PGIM India CRISIL IBX Gilt Index - Apr 2028 Fund - Direct Plan,"5,000",0.33,--,"Puneet Pal (2.5), Bhupesh Kalyani (2.5)"
PGIM India Dynamic Bond Fund - Direct Plan,"5,000",0.42,--,"Bhupesh Kalyani (2.9), Puneet Pal (7.6)"
PGIM India Gilt Fund - Direct Plan,"5,000",0.55,--,"Bhupesh Kalyani (2.9), Puneet Pal (7.6)"
PGIM India Liquid Fund - Direct Plan,"5,000",0.12,0.01 (1),"Bhupesh Kalyani (2.9), Puneet Pal (3)"
PGIM India Money Market Fund - Direct Plan,"5,000",0.20,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Money Market Fund - Segregated Portfolio 1 - Direct Plan,"1,000",--,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Overnight Fund - Direct Plan,"5,000",0.14,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
PGIM India Ultra Short Duration Fund - Direct Plan,"5,000",0.32,--,"Puneet Pal (3), Bhupesh Kalyani (2.9)"
Quant Gilt Fund - Direct Plan,"5,000",0.51,--,"Sanjeev Sharma (2.6), Harshvardhan Bharatia (0.5)"
Quant Liquid - Direct Plan,"5,000",0.25,0.01 (1),"Sanjeev Sharma (5.8), Harshvardhan Bharatia (0.5)"
Quant Overnight Fund - Direct Plan,"5,000",0.14,--,"Sanjeev Sharma (2.6), Harshvardhan Bharatia (0.5)"
Quantum Dynamic Bond Fund - Direct Plan,500.00,0.51,--,"Sneha Pandey (0.3), Mayur Chauhan (0.1)"
Quantum Liquid Fund - Direct Plan,"5,000",0.15,0.01 (1),"Sneha Pandey (0.3), Mayur Chauhan (0.1)"
Samco Overnight Fund - Direct Plan,"5,000",0.13,--,"Umeshkumar Mehta (1.3), Komal Grover (0), Nirali Bhansali (0.4), Dhawal Ghanshyam Dhanani (2.8)"
SBI Banking and PSU Fund - Direct Plan,"5,000",0.39,--,Ardhendu Bhattacharya (1.6)
SBI Corporate Bond Fund - Direct Plan,"5,000",0.36,--,"Ardhendu Bhattacharya (1.6), Rajeev Radhakrishnan (6.5)"
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund - Direct Plan,"5,000",0.21,0.15 (30),Ranjana Gupta (1.6)
SBI Credit Risk Fund - Direct Plan,"5,000",0.89,3.00 (365),Lokesh Mallya (8.5)
SBI CRISIL IBX Gilt Index - April 2029 Fund - Direct Plan,"5,000",0.21,0.15 (30),Ranjana Gupta (1.6)
SBI CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan,"5,000",0.28,0.15 (30),Ranjana Gupta (1.6)
SBI CRISIL IBX SDL Index - September 2027 Fund - Direct Plan,"5,000",0.23,0.15 (30),Ranjana Gupta (1.6)
SBI Dynamic Bond Fund - Direct Plan,"5,000",0.63,0.25 (30),Sudhir Agrawal (0.1)
SBI Floating Rate Debt Fund - Direct Plan,"5,000",0.26,0.10 (3),"Ardhendu Bhattacharya (4.1), Rajeev Radhakrishnan (4.8)"
SBI Income Plus Arbitrage Active FoF - Direct Plan,"5,000",0.10,--,Ardhendu Bhattacharya (0.3)
SBI Liquid Fund - Direct Plan,500.00,0.21,0.01 (1),Rajeev Radhakrishnan (1.6)
SBI Long Duration Fund - Direct Plan,"5,000",0.30,--,Ardhendu Bhattacharya (0.1)
SBI Magnum Constant Maturity Fund - Direct Plan,"5,000",0.31,--,Sudhir Agrawal (0.1)
SBI Magnum Gilt Fund - Direct Plan,"5,000",0.46,--,Sudhir Agrawal (0.1)
SBI Magnum Income Fund - Direct Plan,"5,000",0.77,1.00 (365),Mohit Jain (0.1)
SBI Magnum Low Duration Fund - Direct Plan,"5,000",0.43,--,Sudhir Agrawal (0.2)
SBI Magnum Medium Duration Fund - Direct Plan,"5,000",0.71,1.00 (90),"Lokesh Mallya (1.6), Mohit Jain (1.6)"
SBI Magnum Ultra Short Duration Fund - Direct Plan,"5,000",0.35,--,Sudhir Agrawal (0.2)
SBI Nifty 10 yr Benchmark G-Sec ETF,"5,000",0.14,--,Jignesh Shah (0.1)
SBI NIFTY 1D Rate ETF,"5,000",0.35,--,Jignesh Shah (0.1)
SBI Overnight Fund - Direct Plan,"5,000",0.08,--,Ranjana Gupta (0.6)
SBI Savings Fund - Direct Plan,500.00,0.25,--,Rajeev Radhakrishnan (1.6)
SBI Short Term Debt Fund - Direct Plan,"5,000",0.40,--,Mansi Sajeja (1.6)
Shriram Liquid Fund - Direct Plan,"1,000",0.12,0.01 (1),"Gargi Bhattacharyya Banerjee (0.7), Deepak Ramaraju (0.7), Sudip Suresh More (0.7)"
Shriram Nifty 1D Rate Liquid ETF,"1,000",0.41,--,"Sudip Suresh More (0.8), Gargi Bhattacharyya Banerjee (1.1), Deepak Ramaraju (1.1)"
Shriram Overnight Fund - Direct Plan,500.00,0.11,--,"Sudip Suresh More (0.8), Gargi Bhattacharyya Banerjee (2.9), Deepak Ramaraju (2.9)"
Sundaram Banking & PSU Fund - Direct Plan,"5,000",0.27,--,"Dwijendra Srivastava (12.5), Sandeep Agarwal (3.2), Yash Pankaj Sanghvi (0.2)"
Sundaram Corporate Bond Fund - Direct Plan,"5,000",0.33,--,"Dwijendra Srivastava (12.2), Sandeep Agarwal (12.2)"
Sundaram Liquid Fund - Direct Plan,"1,000",0.13,0.01 (1),"Sandeep Agarwal (3.2), Dwijendra Srivastava (3.6), Yash Pankaj Sanghvi (0.2)"
Sundaram Low Duration Fund - Direct Plan,"1,000",0.40,--,"Sandeep Agarwal (3.2), Dwijendra Srivastava (3.6)"
Sundaram Medium Duration Fund - Direct Plan,"5,000",1.39,--,"Sandeep Agarwal (12.6), Dwijendra Srivastava (12.6)"
Sundaram Money Market Fund - Direct Plan,"1,000",0.17,--,"Dwijendra Srivastava (3.2), Sandeep Agarwal (6.9)"
Sundaram Overnight Fund - Direct Plan,"5,000",0.06,--,"Yash Pankaj Sanghvi (0.2), Dwijendra Srivastava (3.2), Sandeep Agarwal (6.4)"
Sundaram Short Duration Fund - Direct Plan,"5,000",0.30,--,"Dwijendra Srivastava (3.6), Sandeep Agarwal (3.6)"
Sundaram Ultra Short Duration Fund - Direct Plan,"1,000",0.23,--,"Dwijendra Srivastava (3.2), Sandeep Agarwal (3.6)"
Tata Corporate Bond Fund - Direct Plan,"5,000",0.31,--,Abhishek Sonthalia (3.7)
Tata Corporate Bond Fund Segregated Portfolio 1 - Direct Plan,"5,000",--,--,Amit Somani (6.1)
Tata CRISIL-IBX Gilt Index - April 2026 Index Fund - Direct Plan,"5,000",0.12,--,Amit Somani (2.8)
Tata Floating Rate Fund - Direct Plan,"5,000",0.30,--,Akhil Mittal (4.1)
Tata Gilt Securities Fund - Direct Plan,"5,000",0.27,--,Akhil Mittal (3.4)
Tata Income Plus Arbitrage Active FoF - Direct Plan,"5,000",0.07,0.25 (30),"Sailesh Jain (0.2), Abhishek Sonthalia (0.2)"
Tata Liquid Fund - Direct Plan,"5,000",0.20,0.01 (1),"Amit Somani (11.8), Harsh Dave (1), Abhishek Sonthalia (5.5)"
Tata Medium Term Fund Segregated Portfolio 1 - Direct Plan,"5,000",--,--,Murthy Nagarajan (6.1)
Tata Money Market Fund - Direct Plan,"5,000",0.15,--,Amit Somani (11.8)
Tata Nifty G-Sec Dec 2026 Index Fund - Direct Plan,"5,000",0.14,--,Amit Somani (2.6)
Tata Nifty G-Sec Dec 2029 Index Fund - Direct Plan,"5,000",0.13,--,Amit Somani (2.6)
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund - Direct Plan,"5,000",0.22,--,Amit Somani (3.3)
Tata Overnight Fund - Direct Plan,"5,000",0.05,--,Amit Somani (6.3)
Tata Short Term Bond Fund - Direct Plan,"5,000",0.35,--,"Abhishek Sonthalia (5.5), Amit Somani (0.1)"
Tata Treasury Advantage Fund - Direct Plan,"5,000",0.24,--,"Akhil Mittal (11.1), Abhishek Sonthalia (5.5)"
Tata Treasury Advantage Fund Segregated Portfolio 1 - Direct Plan,"5,000",--,--,Akhil Mittal (6.1)
Tata Ultra Short Term Fund - Direct Plan,"5,000",0.28,--,"Akhil Mittal (6.5), Abhishek Sonthalia (0.9)"
TRUSTMF Banking & PSU Fund - Direct Plan,"1,000",0.21,--,"Jalpan Shah (1.1), Neeraj Jain (1.3)"
TRUSTMF Corporate Bond Fund - Direct Plan,"1,000",0.25,--,"Jalpan Shah (1.1), Neeraj Jain (1.3)"
TRUSTMF Liquid Fund - Direct Plan,"1,000",0.10,0.01 (1),"Jalpan Shah (1.1), Neeraj Jain (1.3)"
TRUSTMF Money Market Fund - Direct Plan,"1,000",0.16,--,"Jalpan Shah (1.1), Neeraj Jain (1.3)"
TRUSTMF Overnight Fund - Direct Plan,"1,000",0.07,--,"Jalpan Shah (1.1), Neeraj Jain (1.3)"
TRUSTMF Short Duration Fund - Direct Plan,"1,000",0.23,--,"Jalpan Shah (1.1), Neeraj Jain (1.3)"
Unifi Liquid Fund - Direct Plan,"5,000",0.14,0.01 (1),"Saravanan V N (0.1), Karthik Srinivas (0.1)"
Union Corporate Bond Fund - Direct Plan,"1,000",0.41,--,"Parijat Agrawal (7.2), Anindya Sarkar (6.7), Shrenuj Parekh (2)"
Union Dynamic Bond Fund - Direct Plan,"1,000",1.26,--,"Devesh Thacker (7.1), Parijat Agrawal (12.6)"
Union Gilt Fund - Direct Plan,"1,000",0.65,--,"Anindya Sarkar (3), Parijat Agrawal (3)"
Union Income Plus Arbitrage Active FoF - Direct Plan,"1,000",0.12,--,"Anindya Sarkar (0.2), Vishal Thakker (0.2), Shrenuj Parekh (0.2)"
Union Liquid Fund - Direct Plan,"5,000",0.07,0.01 (1),"Devesh Thacker (12.6), Parijat Agrawal (4.1)"
Union Low Duration Fund - Direct Plan,"1,000",--,--,"Parijat Agrawal (0.1), Devesh Thacker (0.1)"
Union Money Market Fund - Direct Plan,"5,000",0.16,--,"Devesh Thacker (3.9), Parijat Agrawal (3.9)"
Union Overnight Fund - Direct Plan,"5,000",0.07,--,"Tarun Singh (6.3), Devesh Thacker (6.3)"
Union Short Duration Fund - Direct Plan,"1,000",0.33,--,"Anindya Sarkar (0.5), Shrenuj Parekh (0.5)"
UTI Banking & PSU Fund - Direct Plan,500.00,0.33,--,Anurag Mittal (3.6)
UTI Corporate Bond Fund - Direct Plan,500.00,0.28,--,Anurag Mittal (3.6)
UTI Credit Risk Fund - Direct Plan,500.00,1.00,1.00 (365),Sunil Madhukar Patil (0.5)
UTI Credit Risk Fund Segregated Portfolio 2 - Direct Plan,"5,000",--,--,Ritesh Nambiar (5.4)
UTI Credit Risk Fund Segregated Portfolio 3 - Direct Plan,"5,000",--,--,Ritesh Nambiar (5.4)
UTI Credit Risk Fund Segregated Portfolio - Direct Plan,"5,000",--,--,Ritesh Nambiar (5.9)
UTI CRISIL SDL Maturity April 2033 Index Fund - Direct Plan,"5,000",0.16,--,Sunil Madhukar Patil (2.6)
UTI CRISIL SDL Maturity June 2027 Index Fund - Direct Plan,"5,000",0.17,--,Sunil Madhukar Patil (2.6)
UTI Dynamic Bond Fund - Direct Plan,500.00,0.69,--,Pankaj Pathak (0.3)
UTI Dynamic Bond Fund Segregated Portfolio - Direct Plan,"10,000",--,--,Amandeep Singh Chopra (5.4)
UTI Floater Fund - Direct Plan,500.00,0.42,--,Pankaj Pathak (0.3)
UTI Gilt Fund - Direct Plan,500.00,0.66,--,Pankaj Pathak (0.3)
UTI Gilt Fund with 10 year Constant Duration - Direct Plan,"5,000",0.22,--,Jaydeep Bhowal (3)
UTI Income Plus Arbitrage Active FoF - Direct Plan,"1,000",0.05,--,Anurag Mittal (0.3)
UTI Liquid Fund - Direct Plan,500.00,0.15,0.01 (1),Amit Sharma (8.1)
UTI Long Duration Fund - Direct Plan,"5,000",0.56,--,Sunil Madhukar Patil (2.4)
UTI Low Duration Fund - Direct Plan,500.00,0.36,--,Anurag Mittal (3.6)
UTI Medium Duration Fund - Direct Plan,500.00,0.83,1.00 (365),Sunil Madhukar Patil (0.5)
UTI Medium Duration Fund Segregated Portfolio 2 - Direct Plan,"5,000",--,--,"Ritesh Nambiar (5.4), Amandeep Singh Chopra (5.4)"
UTI Medium Duration Fund Segregated Portfolio 3 - Direct Plan,"5,000",--,--,"Amandeep Singh Chopra (5.1), Ritesh Nambiar (5.1)"
UTI Medium Duration Fund Segregated Portfolio - Direct Plan,"5,000",--,--,"Ritesh Nambiar (5.4), Amandeep Singh Chopra (5.4)"
UTI Medium to Long Duration Fund - Direct Plan,500.00,1.23,--,Sunil Madhukar Patil (2.3)
UTI Medium to Long Duration Fund Segregated Portfolio - Direct Plan,"1,000",--,--,Amandeep Singh Chopra (5.4)
UTI Money Market Fund Institutional - Direct Plan,500.00,0.15,--,"Anurag Mittal (3.6), Amit Sharma (8.1)"
UTI Nifty 10 yr Benchmark G-Sec ETF,"5,000",0.26,--,Jaydeep Bhowal (1.5)
UTI Nifty 5 yr Benchmark G-Sec ETF,"5,000",0.21,--,Jaydeep Bhowal (1.5)
UTI Nifty SDL Plus AAA PSU Bond Apr 2026 75:25 Index Fund - Direct Plan,"5,000",0.18,--,Sunil Madhukar Patil (2.5)
UTI Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index Fund - Direct Plan,"5,000",0.22,--,Sunil Madhukar Patil (2.4)
UTI Overnight Fund - Direct Plan,500.00,0.06,--,Jaydeep Bhowal (0.5)
UTI Short Duration Fund - Direct Plan,500.00,0.36,--,Anurag Mittal (0.3)
UTI Ultra Short Duration Fund - Direct,500.00,0.35,--,Anurag Mittal (0.5)
WhiteOak Capital Liquid Fund - Direct Plan,500.00,0.21,0.01 (1),Piyush Baranwal (6.6)
WhiteOak Capital Ultra Short Duration Fund - Direct Plan,500.00,0.47,--,Piyush Baranwal (6.2)
Zerodha Nifty 1D Rate Liquid ETF,500.00,0.27,--,Kedarnath Mirajkar (0.5)
Zerodha Overnight Fund - Direct Plan,100.00,0.08,--,Kedarnath Mirajkar (0.4)
