Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
360 ONE Balanced Hybrid Fund - Direct Plan,--,6.00,5/6,High,HY-BH,Unlock,0.45,2023-09-25,872.00
360 ONE Multi Asset Allocation Fund - Direct Plan,--,--,--,High,HY-MAA,Unlock,--,--,--
Aditya Birla Sun Life Arbitrage Fund - Direct Plan,4,7.70,2/27,Low,HY-AR,Unlock,0.31,2013-01-01,"20,646"
Aditya Birla Sun Life Asset Allocator FoF - Direct Plan,3,7.38,25/37,Very High,HY-MAA,Unlock,0.35,2013-01-01,227.00
Aditya Birla Sun Life Balanced Advantage Fund - Direct Plan,4,8.03,4/36,Very High,HY-DAA,Unlock,0.68,2013-01-01,"8,034"
Aditya Birla Sun Life Equity Hybrid '95 Fund - Direct Plan,2,4.19,30/44,Very High,HY-AH,Unlock,1.05,2013-01-01,"7,650"
Aditya Birla Sun Life Equity Savings Fund - Direct Plan,2,7.77,7/22,Moderate,HY-EQ S,Unlock,0.61,2014-11-28,689.00
Aditya Birla Sun Life Financial Planning FoF - Aggressive Plan - Direct Plan,2,5.14,35/37,Very High,HY-MAA,Unlock,0.37,2013-01-01,229.00
Aditya Birla Sun Life Financial Planning FoF - Conservative Plan - Direct Plan,3,7.26,26/37,High,HY-MAA,Unlock,0.60,2013-01-01,16.00
Aditya Birla Sun Life Financial Planning FoF - Moderate Plan - Direct Plan,2,6.54,28/37,High,HY-MAA,Unlock,0.60,2013-01-01,38.00
Aditya Birla Sun Life Multi Asset Allocation Fund - Direct Plan,--,10.40,13/37,Very High,HY-MAA,Unlock,0.55,2023-01-31,"4,277"
Aditya Birla Sun Life Multi - Index FoF - Direct Plan,--,3.70,36/37,Very High,HY-MAA,Unlock,0.24,2022-10-14,19.00
Aditya Birla Sun Life Regular Savings Fund - Direct Plan,4,9.71,1/28,High,HY-CH,Unlock,1.02,2013-01-01,"1,391"
Aditya Birla Sun Life Retirement Fund - The 40s Plan - Direct Plan,2,8.17,6/44,Very High,HY-AH,Unlock,1.01,2019-03-11,118.00
Aditya Birla Sun Life Retirement Fund - The 50s Plan - Direct Plan,2,7.80,11/28,Moderately High,HY-CH,Unlock,0.61,2019-03-11,26.00
Axis Aggressive Hybrid Fund - Direct Plan,1,5.73,17/44,Very High,HY-AH,Unlock,1.06,2018-08-09,"1,594"
Axis Arbitrage Fund - Direct Plan,3,7.52,12/27,Low,HY-AR,Unlock,0.33,2014-08-14,"6,950"
Axis Balanced Advantage Fund - Direct Plan,3,6.65,12/36,Very High,HY-DAA,Unlock,0.74,2017-08-01,"3,342"
Axis Children's - Direct Plan,1,6.10,14/44,Very High,HY-AH,Unlock,1.29,2015-12-08,924.00
Axis Conservative Hybrid Fund - Direct Plan,2,7.71,12/28,Moderately High,HY-CH,Unlock,0.91,2013-01-01,289.00
Axis Equity Savings Fund - Direct Plan,2,5.88,15/22,Moderately High,HY-EQ S,Unlock,1.06,2015-08-14,952.00
Axis Multi Asset Allocation Fund - Direct Plan,1,6.61,27/37,Very High,HY-MAA,Unlock,1.04,2013-01-01,"1,484"
Axis Retirement Fund - Aggressive Plan - Direct Plan,2,4.90,25/44,Very High,HY-AH,Unlock,1.05,2019-12-20,816.00
Axis Retirement Fund - Conservative Plan - Direct Plan,1,5.18,26/28,High,HY-CH,Unlock,0.92,2019-12-20,60.00
Axis Retirement Fund - Dynamic Plan - Direct Plan,2,4.93,25/36,Very High,HY-DAA,Unlock,1.28,2019-12-20,334.00
Bajaj Finserv Arbitrage Fund - Direct Plan,--,7.06,23/27,Low,HY-AR,Unlock,0.33,2023-09-15,929.00
Bajaj Finserv Balanced Advantage Fund - Direct Plan,--,2.54,30/36,Very High,HY-DAA,Unlock,0.53,2023-12-15,"1,338"
Bajaj Finserv Equity Savings Fund - Direct Plan,--,--,--,Moderate,HY-EQ S,Unlock,--,--,--
Bajaj Finserv Multi Asset Allocation Fund - Direct Plan,--,5.34,34/37,Very High,HY-MAA,Unlock,0.52,2024-06-03,"1,207"
Bandhan Aggressive Hybrid Fund - Direct Plan,3,10.68,2/44,Very High,HY-AH,Unlock,0.92,2016-12-30,989.00
Bandhan Arbitrage Fund - Direct Plan,4,7.61,5/27,Low,HY-AR,Unlock,0.35,2013-01-01,"8,986"
Bandhan Asset Allocation Fund - Aggressive Plan - Direct Plan,3,5.23,23/44,High,HY-AH,Unlock,0.48,2013-01-01,20.00
Bandhan Asset Allocation Fund - Conservative Plan - Direct Plan,3,7.10,16/28,Moderately High,HY-CH,Unlock,0.18,2013-01-01,6.00
Bandhan Asset Allocation Fund - Moderate Plan - Direct Plan,--,6.74,2/6,High,HY-BH,Unlock,0.41,2013-01-01,19.00
Bandhan Balanced Advantage Fund - Direct Plan,2,6.41,13/36,Moderately High,HY-DAA,Unlock,0.75,2014-10-10,"2,302"
Bandhan Conservative Hybrid Fund - Direct Plan,2,6.00,24/28,Moderately High,HY-CH,Unlock,1.05,2013-01-01,116.00
Bandhan Equity Savings Fund - Direct Plan,4,6.57,13/22,Low to Moderate,HY-EQ S,Unlock,0.19,2013-01-01,347.00
Bandhan Multi Asset Allocation Fund - Direct Plan,--,11.65,8/37,Very High,HY-MAA,Unlock,0.47,2024-01-31,"2,020"
Bandhan Retirement Fund - Direct Plan,--,4.78,26/44,Very High,HY-AH,Unlock,0.70,2023-10-18,185.00
Bank of India Arbitrage Fund - Direct Plan,1,7.02,24/27,Low,HY-AR,Unlock,0.43,2018-06-18,43.00
Bank of India Balanced Advantage Fund - Direct Plan,1,0.42,31/36,Very High,HY-DAA,Unlock,1.40,2014-03-14,143.00
Bank of India Conservative Hybrid Fund - Direct Plan,3,4.78,27/28,Moderately High,HY-CH,Unlock,1.28,2013-01-01,69.00
Bank of India Mid & Small Cap Equity & Debt Fund - Direct Plan,4,0.95,41/44,Very High,HY-AH,Unlock,0.86,2016-07-20,"1,250"
Bank of India Multi Asset Allocation Fund - Direct Plan,--,6.21,30/37,High,HY-MAA,Unlock,0.92,2024-02-28,348.00
Baroda BNP Paribas Aggressive Hybrid Fund - Direct Plan,3,3.54,36/44,Very High,HY-AH,Unlock,0.52,2017-04-07,"1,245"
Baroda BNP Paribas Arbitrage Fund - Direct Plan,3,7.47,14/27,Low,HY-AR,Unlock,0.31,2016-12-28,"1,094"
Baroda BNP Paribas Balanced Advantage Fund - Direct Plan,3,7.93,5/36,Very High,HY-DAA,Unlock,0.74,2018-11-14,"4,413"
Baroda BNP Paribas Conservative Hybrid Fund - Direct Plan,3,7.67,13/28,Moderately High,HY-CH,Unlock,0.51,2013-01-01,832.00
Baroda BNP Paribas Equity Savings Fund - Direct Plan,2,7.71,8/22,Moderately High,HY-EQ S,Unlock,1.37,2019-07-25,263.00
Baroda BNP Paribas Multi Asset Active FoF - Direct Plan,--,--,--,Moderately High,HY-MAA,Unlock,0.11,2025-05-30,126.00
Baroda BNP Paribas Multi Asset Fund - Direct Plan,--,6.28,29/37,Very High,HY-MAA,Unlock,0.91,2022-12-19,"1,200"
Baroda BNP Paribas Retirement Fund - Direct Plan,--,7.23,9/44,Very High,HY-AH,Unlock,1.16,2024-05-28,390.00
Canara Robeco Balanced Advantage Fund - Direct Plan,--,--,--,Very High,HY-DAA,Unlock,0.64,2024-08-02,"1,507"
Canara Robeco Conservative Hybrid Fund - Direct Plan,3,8.28,8/28,Moderately High,HY-CH,Unlock,0.67,2013-01-02,955.00
Canara Robeco Equity Hybrid Fund - Direct Plan,3,5.30,20/44,Very High,HY-AH,Unlock,0.57,2013-01-01,"11,243"
Canara Robeco Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.57,2025-05-30,918.00
DSP Aggressive Hybrid Fund - Direct Plan,4,8.91,3/44,Very High,HY-AH,Unlock,0.65,2013-01-01,"11,418"
DSP Arbitrage Fund - Direct Plan,3,7.44,15/27,Low,HY-AR,Unlock,0.35,2018-01-25,"6,434"
DSP Dynamic Asset Allocation Fund - Direct Plan,3,8.04,3/36,Moderately High,HY-DAA,Unlock,0.68,2014-02-06,"3,454"
DSP Equity Savings Fund - Direct Plan,4,8.12,4/22,Moderate,HY-EQ S,Unlock,0.37,2016-03-28,"3,192"
DSP Multi Asset Allocation Fund - Direct Plan,--,15.50,2/37,Very High,HY-MAA,Unlock,0.28,2023-09-27,"3,377"
DSP Regular Savings Fund - Direct Plan,3,8.61,5/28,Moderate,HY-CH,Unlock,0.50,2013-01-02,174.00
Edelweiss Aggressive Hybrid Fund - Direct Plan,5,6.76,10/44,Very High,HY-AH,Unlock,0.39,2013-01-07,"2,926"
Edelweiss Arbitrage Fund - Direct Plan,4,7.63,3/27,Low,HY-AR,Unlock,0.38,2014-06-27,"15,045"
Edelweiss Balanced Advantage Fund - Direct Plan,3,3.21,29/36,Very High,HY-DAA,Unlock,0.51,2013-01-01,"13,047"
Edelweiss Equity Savings Fund - Direct Plan,5,9.28,1/22,Moderate,HY-EQ S,Unlock,0.60,2014-10-13,670.00
Edelweiss Multi Asset Allocation Fund - Direct Plan,--,8.49,21/37,Low to Moderate,HY-MAA,Unlock,0.40,2023-06-23,"1,879"
Edelweiss Multi Asset Omni FoF - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
Franklin India Aggressive Hybrid Fund - Direct Plan,4,5.25,22/44,Very High,HY-AH,Unlock,0.97,2013-01-01,"2,248"
Franklin India Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.29,2024-11-19,350.00
Franklin India Balanced Advantage Fund - Direct Plan,--,6.75,11/36,High,HY-DAA,Unlock,0.43,2022-09-06,"2,738"
Franklin India Conservative Hybrid Fund - Direct Plan,3,8.13,9/28,Moderately High,HY-CH,Unlock,0.79,2013-01-01,206.00
Franklin India Dynamic Asset Allocation Active FoF - Direct Plan,5,6.38,14/36,High,HY-DAA,Unlock,1.09,2013-01-01,"1,325"
Franklin India Equity Savings Fund - Direct Plan,3,6.55,14/22,Low to Moderate,HY-EQ S,Unlock,0.30,2018-08-27,667.00
Franklin India Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
Franklin India Retirement Fund - Direct Plan,--,6.35,4/6,High,HY-BH,Unlock,1.46,2013-01-01,526.00
Groww Aggressive Hybrid Fund - Direct Plan,2,1.73,38/44,Very High,HY-AH,Unlock,1.38,2018-12-13,48.00
HDFC Arbitrage Fund - Direct Plan,--,7.47,--,Low,HY-AR,Unlock,0.42,2013-01-01,"21,068"
HDFC Arbitrage Fund - Wholesale - Direct Plan,3,7.47,13/27,Low,HY-AR,Unlock,0.41,2014-04-07,"21,068"
HDFC Balanced Advantage Fund - Direct Plan,5,3.32,28/36,Very High,HY-DAA,Unlock,0.75,2013-01-01,"1,02,790"
HDFC Children's Fund - Direct Plan,5,3.72,35/44,Very High,HY-AH,Unlock,0.90,2013-01-01,"10,369"
HDFC Equity Savings Fund - Direct Plan,3,5.51,18/22,Moderately High,HY-EQ S,Unlock,0.92,2013-01-01,"5,663"
HDFC Hybrid Debt Fund - Direct Plan,4,6.15,22/28,Moderately High,HY-CH,Unlock,1.16,2013-01-01,"3,401"
HDFC Hybrid Equity Fund - Direct Plan,3,5.02,24/44,Very High,HY-AH,Unlock,1.04,2013-01-01,"24,854"
HDFC Multi-Asset Active FoF - Direct Plan,4,10.66,12/37,High,HY-MAA,Unlock,0.10,2021-05-05,"4,211"
HDFC Multi Asset Fund - Direct Plan,4,8.70,20/37,High,HY-MAA,Unlock,0.77,2013-01-01,"4,545"
HDFC Retirement Savings Fund - Hybrid Debt Plan - Direct Plan,3,6.59,19/28,Moderately High,HY-CH,Unlock,1.02,2016-02-26,163.00
HDFC Retirement Savings Fund - Hybrid Equity Plan - Direct Plan,4,3.96,33/44,Very High,HY-AH,Unlock,0.92,2016-02-25,"1,698"
Helios Balanced Advantage Fund - Direct Plan,--,4.93,24/36,High,HY-DAA,Unlock,0.91,2024-03-27,313.00
HSBC Aggressive Hybrid Active FoF - Direct Plan,2,3.84,34/44,Very High,HY-AH,Unlock,0.10,2014-04-30,42.00
HSBC Aggressive Hybrid Fund - Direct Plan,2,2.90,37/44,Very High,HY-AH,Unlock,0.82,2013-01-01,"5,566"
HSBC Arbitrage Fund - Direct Plan,3,7.34,19/27,Low,HY-AR,Unlock,0.23,2014-06-30,"2,444"
HSBC Balanced Advantage Fund - Direct Plan,3,5.35,21/36,Moderately High,HY-DAA,Unlock,0.82,2013-01-01,"1,555"
HSBC Conservative Hybrid Fund - Direct Plan,2,7.41,14/28,Moderately High,HY-CH,Unlock,1.29,2013-01-11,163.00
HSBC Equity Savings Fund - Direct Plan,3,4.31,22/22,Moderately High,HY-EQ S,Unlock,0.65,2013-01-01,649.00
HSBC Multi Asset Active FoF - Direct Plan,2,7.47,24/37,Very High,HY-MAA,Unlock,0.10,2014-04-30,61.00
HSBC Multi Asset Allocation Fund - Direct Plan,--,5.55,33/37,Very High,HY-MAA,Unlock,0.50,2024-02-28,"2,154"
ICICI Prudential Asset Allocator Fund (FOF) - Direct Plan,4,10.23,15/37,High,HY-MAA,Unlock,0.21,2013-01-01,"26,858"
ICICI Prudential Balanced Advantage Fund - Direct Plan,4,7.70,7/36,Very High,HY-DAA,Unlock,0.85,2013-01-01,"65,298"
ICICI Prudential Child Care Fund - Gift Plan - Direct Plan,3,7.85,8/44,Very High,HY-AH,Unlock,1.46,2013-01-01,"1,424"
ICICI Prudential Equity Arbitrage Fund - Direct Plan,3,7.58,7/27,Low,HY-AR,Unlock,0.40,2013-01-01,"30,811"
ICICI Prudential Equity & Debt Fund - Direct Plan,5,6.45,11/44,Very High,HY-AH,Unlock,0.96,2013-01-01,"44,552"
ICICI Prudential Equity Savings Fund - Direct Plan,5,7.83,6/22,Low to Moderate,HY-EQ S,Unlock,0.50,2014-12-05,"14,168"
ICICI Prudential Multi Asset Fund - Direct Plan,5,10.26,14/37,Very High,HY-MAA,Unlock,0.67,2013-01-01,"62,014"
ICICI Prudential Passive Multi-Asset FoF - Direct Plan,3,12.97,3/37,High,HY-MAA,Unlock,0.22,2022-01-14,"1,166"
ICICI Prudential Regular Savings Fund - Direct Plan,4,8.88,3/28,High,HY-CH,Unlock,0.97,2013-01-01,"3,220"
ICICI Prudential Retirement Fund - Hybrid Aggressive Plan - Direct Plan,4,8.23,5/44,Very High,HY-AH,Unlock,0.78,2019-02-27,903.00
ICICI Prudential Retirement Fund - Hybrid Conservative Plan - Direct Plan,3,8.57,6/28,High,HY-CH,Unlock,0.87,2019-02-27,83.00
Invesco India Aggressive Hybrid Fund - Direct Plan,3,8.11,7/44,Very High,HY-AH,Unlock,0.79,2018-06-30,742.00
Invesco India Arbitrage Fund - Direct Plan,5,7.63,4/27,Low,HY-AR,Unlock,0.39,2013-01-01,"23,900"
Invesco India Balanced Advantage Fund - Direct Plan,3,5.72,19/36,Very High,HY-DAA,Unlock,0.79,2013-01-01,"1,024"
Invesco India Equity Savings Fund - Direct Plan,2,7.12,9/22,Moderately High,HY-EQ S,Unlock,0.71,2019-03-07,426.00
