Funds,Rating,1 Yr Ret (%),1 Yr Rank,Riskometer,Category,Analysts' View,Expense Ratio (%),Launch,Net Assets (Cr)
Invesco India Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.51,2024-12-17,406.00
ITI Arbitrage Fund - Direct Plan,1,7.53,10/27,Low,HY-AR,Unlock,0.21,2019-09-09,46.00
ITI Balanced Advantage Fund - Direct Plan,2,5.82,18/36,Very High,HY-DAA,Unlock,0.63,2019-12-31,408.00
JM Aggressive Hybrid Fund - Direct Plan,5,-2.38,43/44,Very High,HY-AH,Unlock,0.54,2013-01-01,862.00
JM Arbitrage Fund - Direct Plan,2,7.01,25/27,Low,HY-AR,Unlock,0.39,2013-01-01,196.00
Kotak Aggressive Hybrid Fund - Direct Plan,4,5.28,21/44,Very High,HY-AH,Unlock,0.47,2013-01-01,"7,808"
Kotak Arbitrage Fund - Direct Plan,4,7.60,6/27,Low,HY-AR,Unlock,0.44,2013-01-01,"69,924"
Kotak Balanced Advantage Fund - Direct Plan,4,6.27,15/36,Very High,HY-DAA,Unlock,0.56,2018-08-03,"17,677"
Kotak Debt Hybrid Fund - Direct Plan,4,7.23,15/28,Moderately High,HY-CH,Unlock,0.48,2013-01-01,"3,134"
Kotak Equity Savings Fund - Direct Plan,4,5.78,16/22,Moderately High,HY-EQ S,Unlock,0.67,2014-10-13,"8,444"
Kotak Multi Asset Allocation Fund - Direct Plan,--,5.75,32/37,Very High,HY-MAA,Unlock,0.44,2023-09-22,"8,220"
Kotak Multi Asset Allocator FoF - Dynamic - Direct Plan,4,8.84,19/37,Very High,HY-MAA,Unlock,0.33,2013-01-01,"1,860"
LIC MF Aggressive Hybrid Fund - Direct Plan,2,4.77,27/44,Very High,HY-AH,Unlock,1.39,2013-01-03,545.00
LIC MF Arbitrage Fund - Direct Plan,2,7.28,20/27,Low,HY-AR,Unlock,0.34,2019-01-25,121.00
LIC MF Balanced Advantage Fund - Direct Plan,3,7.48,8/36,Very High,HY-DAA,Unlock,0.71,2021-11-12,845.00
LIC MF Conservative Hybrid Fund - Direct Plan,1,6.35,21/28,Moderately High,HY-CH,Unlock,1.21,2013-01-09,51.00
LIC MF Equity Savings Fund - Direct Plan,1,8.19,2/22,Moderate,HY-EQ S,Unlock,1.32,2013-01-04,21.00
LIC MF Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.46,2025-02-14,619.00
LIC MF Unit Linked Insurance - Direct Plan,2,4.06,32/44,Very High,HY-AH,Unlock,1.29,2013-03-01,498.00
Mahindra Manulife Aggressive Hybrid Fund - Direct Plan,4,5.97,15/44,Very High,HY-AH,Unlock,0.46,2019-07-19,"1,798"
Mahindra Manulife Arbitrage Fund - Direct Plan,2,6.27,27/27,Low,HY-AR,Unlock,0.39,2020-08-24,90.00
Mahindra Manulife Balanced Advantage Fund - Direct Plan,3,5.45,20/36,Very High,HY-DAA,Unlock,0.53,2021-12-30,933.00
Mahindra Manulife Equity Savings Fund - Direct Plan,2,5.33,19/22,Moderately High,HY-EQ S,Unlock,0.72,2017-02-01,571.00
Mahindra Manulife Multi Asset Allocation Fund - Direct Plan,--,10.71,11/37,Very High,HY-MAA,Unlock,0.42,2024-03-13,624.00
Mirae Asset Aggressive Hybrid Fund - Direct Plan,3,5.86,16/44,Very High,HY-AH,Unlock,0.39,2015-07-29,"9,313"
Mirae Asset Arbitrage Fund - Direct Plan,4,7.39,17/27,Low,HY-AR,Unlock,0.15,2020-06-19,"3,233"
Mirae Asset Balanced Advantage Fund - Direct Plan,--,7.04,10/36,Very High,HY-DAA,Unlock,0.69,2022-08-11,"1,899"
Mirae Asset Equity Savings Fund - Direct Plan,3,8.19,3/22,Moderately High,HY-EQ S,Unlock,0.40,2018-12-17,"1,507"
Mirae Asset Multi Asset Allocation Fund - Direct Plan,--,12.19,5/37,Very High,HY-MAA,Unlock,0.42,2024-01-31,"2,092"
Motilal Oswal Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.11,2024-12-23,765.00
Motilal Oswal Asset Allocation Passive FoF - Aggressive - Direct Plan,2,11.09,9/37,Very High,HY-MAA,Unlock,0.07,2021-03-12,86.00
Motilal Oswal Asset Allocation Passive FoF - Conservative - Direct Plan,3,11.97,7/37,High,HY-MAA,Unlock,0.06,2021-03-12,48.00
Motilal Oswal Balanced Advantage Fund - Direct Plan,1,-7.91,36/36,Very High,HY-DAA,Unlock,0.94,2016-09-27,913.00
Navi Aggressive Hybrid Fund - Direct Plan,3,6.30,12/44,Very High,HY-AH,Unlock,0.42,2018-04-30,125.00
Nippon India Aggressive Hybrid Fund - Direct Plan,4,5.47,18/44,Very High,HY-AH,Unlock,1.10,2013-01-01,"3,988"
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,Very High,HY-AH,Unlock,--,--,9.00
Nippon India Aggressive Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,Very High,HY-AH,Unlock,1.10,--,--
Nippon India Arbitrage Fund - Direct Plan,4,7.41,16/27,Low,HY-AR,Unlock,0.38,2013-01-01,"14,948"
Nippon India Balanced Advantage Fund - Direct Plan,4,5.19,22/36,Very High,HY-DAA,Unlock,0.55,2013-01-01,"9,391"
Nippon India Conservative Hybrid Fund - Direct Plan,4,9.04,2/28,High,HY-CH,Unlock,1.10,2013-01-01,895.00
Nippon India Conservative Hybrid Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,Very High,HY-CH,Unlock,1.10,--,34.00
Nippon India Conservative Hybrid Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,High,HY-CH,Unlock,1.11,--,--
Nippon India Equity Savings Fund - Direct Plan,2,5.24,20/22,Moderate,HY-EQ S,Unlock,0.74,2015-05-30,753.00
Nippon India Equity Savings Fund - Segregated Portfolio 1 - Direct Plan,--,--,--,Low to Moderate,HY-EQ S,Unlock,--,--,26.00
Nippon India Equity Savings Fund - Segregated Portfolio 2 - Direct Plan,--,--,--,Low to Moderate,HY-EQ S,Unlock,0.74,--,26.00
Nippon India Multi Asset Active FoF - Direct Plan,5,12.09,6/37,Very High,HY-MAA,Unlock,0.21,2021-02-08,744.00
Nippon India Multi Asset Allocation Fund - Direct Plan,3,12.47,4/37,Very High,HY-MAA,Unlock,0.29,2020-08-28,"6,368"
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,2,7.05,17/28,Moderately High,HY-CH,Unlock,0.97,2015-02-11,155.00
NJ Arbitrage Fund - Direct Plan,--,6.68,26/27,Low,HY-AR,Unlock,0.26,2022-08-01,261.00
NJ Balanced Advantage Fund - Direct Plan,2,-2.27,32/36,Very High,HY-DAA,Unlock,0.57,2021-10-29,"3,839"
Parag Parikh Arbitrage Fund - Direct Plan,--,7.13,22/27,Low,HY-AR,Unlock,0.29,2023-11-02,"1,645"
Parag Parikh Conservative Hybrid Fund - Direct Plan,5,8.77,4/28,Moderately High,HY-CH,Unlock,0.34,2021-05-26,"2,756"
Parag Parikh Dynamic Asset Allocation Fund - Direct Plan,--,7.10,9/36,Moderate,HY-DAA,Unlock,0.33,2024-02-27,"2,238"
PGIM India Aggressive Hybrid Equity Fund - Direct Plan,2,8.76,4/44,Very High,HY-AH,Unlock,0.77,2013-01-01,220.00
PGIM India Arbitrage Fund - Direct Plan,2,7.38,18/27,Low,HY-AR,Unlock,0.39,2014-08-27,124.00
PGIM India Balanced Advantage Fund - Direct Plan,2,6.15,16/36,Very High,HY-DAA,Unlock,0.47,2021-02-04,995.00
PGIM India Equity Savings Fund - Direct Plan,3,6.64,12/22,Low to Moderate,HY-EQ S,Unlock,0.58,2013-01-01,73.00
Quant Aggressive Hybrid Fund - Direct Plan,3,-4.23,44/44,Very High,HY-AH,Unlock,0.68,2013-01-01,"2,170"
Quant Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.37,2025-04-04,108.00
Quant Dynamic Asset Allocation Fund - Direct Plan,--,-2.78,33/36,Very High,HY-DAA,Unlock,0.68,2023-04-12,"1,260"
Quant Equity Savings Fund - Direct Plan,--,--,--,Moderate,HY-EQ S,Unlock,--,2025-07-24,--
Quant Multi Asset Allocation Fund - Direct Plan,4,8.06,22/37,High,HY-MAA,Unlock,0.57,2013-01-01,"3,570"
Quantum Multi Asset Allocation Fund - Direct Plan,--,8.95,18/37,High,HY-MAA,Unlock,0.41,2024-03-07,37.00
Quantum Multi Asset Fund of Funds - Direct Plan,3,10.19,16/37,High,HY-MAA,Unlock,0.10,2012-07-11,67.00
Samco Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.38,2024-11-27,32.00
Samco Dynamic Asset Allocation Fund - Direct Plan,--,-3.72,35/36,Very High,HY-DAA,Unlock,0.82,2023-12-28,427.00
Samco Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,0.54,2024-12-24,298.00
SBI Arbitrage Opportunities Fund - Direct Plan,3,7.52,11/27,Low,HY-AR,Unlock,0.40,2013-01-01,"37,606"
SBI Balanced Advantage Fund - Direct Plan,5,5.87,17/36,Very High,HY-DAA,Unlock,0.74,2021-08-31,"36,637"
SBI Conservative Hybrid Fund - Direct Plan,4,6.58,20/28,High,HY-CH,Unlock,1.05,2013-01-01,"9,748"
SBI Equity Hybrid Fund - Direct Plan,3,10.68,1/44,Very High,HY-AH,Unlock,0.72,2013-01-01,"78,708"
SBI Equity Savings Fund - Direct Plan,3,6.72,11/22,High,HY-EQ S,Unlock,1.01,2015-05-27,"5,586"
SBI Magnum Children's Benefit Fund - Investment Plan - Direct Plan,5,6.17,13/44,Very High,HY-AH,Unlock,0.89,2020-09-29,"3,828"
SBI Magnum Children's Benefit Fund - Savings Plan - Direct Plan,5,8.56,7/28,Moderately High,HY-CH,Unlock,0.85,2013-01-01,128.00
SBI Multi Asset Allocation Fund - Direct Plan,4,9.64,17/37,Very High,HY-MAA,Unlock,0.57,2013-01-01,"8,940"
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan,3,1.26,40/44,Very High,HY-AH,Unlock,1.06,2021-02-10,"1,616"
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan,3,4.51,28/28,High,HY-CH,Unlock,1.17,2021-02-10,286.00
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan,3,7.01,18/28,Moderately High,HY-CH,Unlock,0.96,2021-02-10,179.00
Shriram Aggressive Hybrid Fund - Direct Plan,1,-2.30,42/44,Very High,HY-AH,Unlock,0.96,2013-11-29,50.00
Shriram Balanced Advantage Fund - Direct Plan,2,-3.39,34/36,Very High,HY-DAA,Unlock,0.78,2019-07-05,63.00
Shriram Multi Asset Allocation Fund - Direct Plan,--,-2.28,37/37,Very High,HY-MAA,Unlock,0.55,2023-09-08,148.00
Sundaram Aggressive Hybrid Fund - Direct Plan,3,4.31,28/44,High,HY-AH,Unlock,0.68,2013-01-01,"6,429"
Sundaram Arbitrage Fund - Direct Plan,2,7.55,9/27,Low,HY-AR,Unlock,0.17,2016-04-21,255.00
Sundaram Balanced Advantage Fund - Direct Plan,3,5.05,23/36,High,HY-DAA,Unlock,0.60,2013-01-01,"1,597"
Sundaram Conservative Hybrid Fund - Direct Plan,3,6.12,23/28,Moderately High,HY-CH,Unlock,1.16,2013-01-08,27.00
Sundaram Equity Savings Fund - Direct Plan,4,8.09,5/22,Moderate,HY-EQ S,Unlock,0.62,2002-05-23,"1,092"
Sundaram Multi Asset Allocation Fund - Direct Plan,--,10.77,10/37,High,HY-MAA,Unlock,0.39,2024-01-25,"2,688"
Tata Aggressive Hybrid Fund - Direct Plan,2,1.53,39/44,Very High,HY-AH,Unlock,0.98,2013-01-01,"4,131"
Tata Arbitrage Fund - Direct Plan,5,7.70,1/27,Low,HY-AR,Unlock,0.31,2018-12-18,"15,922"
Tata Balanced Advantage Fund - Direct Plan,4,3.77,27/36,Very High,HY-DAA,Unlock,0.41,2019-01-28,"10,353"
Tata Equity Savings Fund - Direct Plan,3,6.77,10/22,Moderate,HY-EQ S,Unlock,0.51,2013-01-01,268.00
Tata Multi Asset Allocation Fund - Direct Plan,3,7.89,23/37,Very High,HY-MAA,Unlock,0.40,2020-03-04,"3,956"
Tata Retirement Savings Fund - Conservative Plan - Direct Plan,2,5.78,25/28,Moderately High,HY-CH,Unlock,1.00,2013-01-01,180.00
Tata Retirement Savings Fund - Moderate Plan - Direct Plan,3,4.16,31/44,Very High,HY-AH,Unlock,0.59,2013-01-01,"2,230"
Unifi Dynamic Asset Allocation Fund - Direct Plan,--,--,--,Moderate,HY-DAA,Unlock,0.93,2025-03-13,668.00
Union Aggressive Hybrid Fund - Direct Plan,2,5.39,19/44,High,HY-AH,Unlock,1.00,2020-12-18,670.00
Union Arbitrage Fund - Direct Plan,2,7.27,21/27,Low,HY-AR,Unlock,0.46,2019-02-20,335.00
Union Balanced Advantage Fund - Direct Plan,3,4.57,26/36,Very High,HY-DAA,Unlock,0.99,2017-12-29,"1,395"
Union Equity Savings Fund - Direct Plan,1,4.67,21/22,Moderate,HY-EQ S,Unlock,1.46,2018-08-09,139.00
Union Multi Asset Allocation Fund - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,1.01,2024-09-10,798.00
UTI Aggressive Hybrid Fund - Direct Plan,4,4.29,29/44,Very High,HY-AH,Unlock,1.23,2013-01-01,"6,468"
UTI Arbitrage Fund - Direct Plan,3,7.55,8/27,Low,HY-AR,Unlock,0.28,2013-01-01,"7,863"
UTI Balanced Advantage Fund - Direct Plan,--,7.80,6/36,Very High,HY-DAA,Unlock,0.52,2023-08-10,"3,036"
UTI Children's Hybrid Fund - Direct Plan,--,5.30,6/6,High,HY-BH,Unlock,1.52,2013-01-01,"4,627"
UTI Conservative Hybrid Fund - Direct Plan,4,7.94,10/28,Moderately High,HY-CH,Unlock,1.19,2013-01-01,"1,706"
UTI Conservative Hybrid Fund Segregated Portfolio - Direct Plan,--,--,--,Moderately High,HY-CH,Unlock,1.21,--,46.00
UTI Equity Savings Fund - Direct Plan,4,5.78,17/22,Moderate,HY-EQ S,Unlock,0.69,2018-08-30,707.00
UTI Multi Asset Allocation Fund - Direct Plan,4,6.19,31/37,Very High,HY-MAA,Unlock,0.59,2013-01-01,"5,890"
UTI Retirement Fund - Direct Plan,--,6.51,3/6,High,HY-BH,Unlock,1.02,2013-01-01,"4,766"
UTI Unit Linked Insurance Plan - Direct Plan,2,9.14,2/36,High,HY-DAA,Unlock,0.96,2013-01-01,"5,489"
WhiteOak Capital Arbitrage Fund - Direct Plan,--,--,--,Low,HY-AR,Unlock,0.38,2024-09-09,553.00
WhiteOak Capital Balanced Advantage Fund - Direct Plan,--,10.07,1/36,Very High,HY-DAA,Unlock,0.50,2023-02-10,"1,654"
WhiteOak Capital Balanced Hybrid Fund - Direct Plan,--,8.03,1/6,Very High,HY-BH,Unlock,0.68,2023-10-27,195.00
WhiteOak Capital Equity Savings Fund - Direct Plan,--,--,--,Moderate,HY-EQ S,Unlock,0.63,2025-03-12,102.00
WhiteOak Capital Multi Asset Allocation Fund - Direct Plan,--,17.36,1/37,High,HY-MAA,Unlock,0.48,2023-05-19,"2,586"
Zerodha Multi Asset Passive FoF - Direct Plan,--,--,--,Very High,HY-MAA,Unlock,--,--,--
